Racehorse,YOF,Sex,Trainer,Latest,"2 runs ago","3 runs ago","4 runs ago","5 runs ago","6 runs ago"
"BARRICHELLO (GB)",2016,GELDING,"Donald McCain",S:130,S:130,S:135,H:118,H:x,H:134
"BARRIER PEAKS (FR)",2016,GELDING,"David Pipe",H:86,H:73,H:x,H:x,H:x,N:x
"BARRISTER BLASTER (GB)",2018,GELDING,"Mark Weatherer",A:20,A:30,T:49,T:7,T:43,T:40
"BARROLO (GB)",2020,COLT,"Grant Tuer",T:x,T:x,T:x,-,-,-
"BARROWMOUNT (IRE)",2016,GELDING,"Seamus Mullins",S:0,S:57,H:46,H:0,H:0,H:x
"BARTON KNOLL (GB)",2012,GELDING,"John Mackie",S:120,S:99,S:127,S:130,S:118,S:126
"BARTZELLA (GB)",2018,FILLY,,A:95,T:84,T:99,T:x,T:x,T:x
"BARYSHNIKOV (GB)",2016,GELDING,"David & Nicola Barron",T:85,T:83,T:91,T:94,T:93,T:84
"BASCINET (GB)",2019,GELDING,"Eve Johnson Houghton",A:60,A:62,A:54,A:55,A:51,A:51
"BASCULE (FR)",2018,GELDING,"Richard Hughes",H:x,H:x,A:91,A:90,T:84,T:88
"BASE NOTE (GB)",2019,GELDING,"Simon & Ed Crisford",A:101,A:97,A:96,A:81,A:91,T:58
"BASFORD (IRE)",2017,GELDING,"Jennie Candlish",H:102,H:x,H:x,H:x,N:x,N:x
"BASHARAT (GB)",2018,GELDING,"J. R. Jenkins",T:18,T:46,T:x,A:50,T:60,T:61
"BASHERS REFLECTION (GB)",2017,GELDING,"Ben Case",H:103,H:x,H:x,H:x,N:x,N:x
"BASHFUL (GB)",2018,GELDING,"Iain Jardine",H:91,H:95,H:98,H:95,T:x,T:67
"BASHFUL BOY (IRE)",2016,GELDING,"David Pipe",H:108,H:117,H:113,H:91,H:106,H:112
"BASHFUL KATE (IRE)",2017,FILLY,"David Pipe",H:x,H:x,H:x,-,-,-
"BASHKIROVA (GB)",2018,FILLY,,T:97,T:97,T:101,T:105,T:104,T:87
"BASHOLO (IRE)",2019,FILLY,"Stella Barclay",A:50,A:47,A:45,A:55,A:60,A:52
"BASHOSH (IRE)",2018,GELDING,,T:86,T:90,A:89,A:85,A:90,T:91
"BASS PLAYER (IRE)",2019,GELDING,"Tom Clover",A:85,A:96,T:82,T:102,T:102,T:102
"BASS ROCK (FR)",2016,GELDING,"Sandy Thomson",S:141,S:139,H:132,H:122,H:130,H:130
"BASS STRAIT (GB)",2019,FILLY,"Sheena West",A:47,A:49,A:46,A:46,T:32,T:46
"BASTILLE (GB)",2019,GELDING,,T:47,T:52,T:58,A:60,T:50,T:44
"BASTOGNE (IRE)",2019,GELDING,"Deborah Faulkner",T:x,T:70,A:73,T:84,T:79,T:84
"BATAL DUBAI (IRE)",2020,COLT,"Harry & Roger Charlton",T:56,A:x,T:x,T:x,-,-
"BATCHELOR BOY (IRE)",2017,GELDING,"John Gallagher",T:63,T:53,T:33,T:73,T:68,T:61
"BATEAU BAY (IRE)",2019,FILLY,"Philip Kirby",A:37,A:28,A:20,A:x,A:x,A:x
"BATEMANS BAY (FR)",2020,COLT,"Ralph Beckett",T:101,T:x,T:x,-,-,-
"BATHIVA (FR)",2014,GELDING,"Fergal O'Brien",S:124,S:101,S:137,H:x,S:133,S:127
"BATMAN FOR EVER (GER)",2017,GELDING,"Rebecca Menzies",H:83,S:0,S:98,-,-,-
"BATTANI (IRE)",2019,GELDING,,T:1,T:43,T:7,T:x,T:x,T:x
"BATTLE ANGEL (IRE)",2018,FILLY,,H:76,T:42,A:60,T:57,T:64,H:75
"BATTLE MARCH (USA)",2017,GELDING,"Chris Down",H:62,H:x,H:x,H:x,N:x,N:x
"BATTLE OF TORO (IRE)",2016,GELDING,"James Moffatt",H:x,H:107,H:110,H:112,H:x,H:106
"BATTLE POINT (IRE)",2019,GELDING,"Michael Attwater",A:52,T:51,T:x,A:49,T:48,T:58
"BAUHINIA RHAPSODY (GB)",2020,COLT,"Ed Walker",A:x,A:x,T:x,-,-,-
"BAVARDAGES (IRE)",2017,GELDING,"Michael & David Easterby",T:66,T:68,T:59,T:60,T:70,T:62
"BAVINGTON BOB (IRE)",2015,GELDING,"Ann Hamilton",S:135,S:93,S:104,S:132,S:139,S:130
"BAWAADER (IRE)",2015,GELDING,"Aytach Sadik",A:55,A:54,A:47,A:47,A:44,A:46
"BAY BEE (GB)",2019,FILLY,,A:0,T:22,T:x,T:x,A:x,-
"BAY BREEZE (GB)",2019,GELDING,"Tim Easterby",T:40,T:78,T:79,T:58,T:76,T:76
"BAY BRIDGE (GB)",2018,COLT,"Sir Michael Stoute",T:122,T:113,T:120,T:120,T:112,T:111
"BAY DREAM BELIEVER (IRE)",2019,FILLY,"Mark Walford",A:53,T:67,T:x,T:x,T:x,T:x
"BAY OF HOPE (IRE)",2020,GELDING,"Michael & David Easterby",A:61,A:44,A:x,T:x,T:x,-
"BAY OF INTRIGUE (GB)",2015,GELDING,,H:66,H:100,H:82,H:84,H:104,H:104
"BAY OF NAPLES (IRE)",2016,GELDING,"Michael Herrington",A:60,A:66,A:7,A:66,T:61,A:77
"BAY SAM BELLA (GB)",2015,FILLY,"Alexander Gibbons",H:x,H:x,H:x,-,-,-
"BAYRAAT (GB)",2016,GELDING,"Tom Tate",A:53,A:66,A:x,A:x,A:x,N:x
"BAYRAQ (USA)",2019,COLT,,T:78,A:74,A:x,A:x,-,-
"BAYSIDE BOY (IRE)",2019,COLT,,T:118,T:111,T:102,T:110,T:111,T:114
"BAYSTON HILL (GB)",2014,GELDING,,A:55,A:43,A:56,T:43,A:57,A:55
"BAZALGETTE (IRE)",2019,GELDING,"Stella Barclay",A:44,A:48,A:32,A:27,A:48,A:48
"BBOB ALULA (GB)",2015,GELDING,,H:60,H:x,T:49,T:57,T:58,T:54
"BBOLD (IRE)",2014,GELDING,"Syd Hosie",S:0,S:100,S:125,S:122,S:128,S:97
"BE BE EX (IRE)",2019,GELDING,"Jessica Macey",A:61,A:59,T:27,T:52,A:53,A:65
"BE FAIR (GB)",2016,GELDING,"Tony Carroll",A:53,A:51,H:x,A:49,A:57,T:57
"BE LUCKY MY SON (IRE)",2019,GELDING,,A:81,A:82,T:77,T:76,T:0,T:73
"BE MY SEA (IRE)",2011,GELDING,"Tony Carroll",T:74,H:99,A:66,H:0,T:73,T:72
"BE PREPARED (GB)",2017,GELDING,"John Bridger",A:54,A:52,A:47,T:34,T:46,T:80
"BE PROUD (IRE)",2016,GELDING,"Jim Goldie",A:63,T:73,T:54,A:59,A:77,T:75
"BEACH BREEZE (IRE)",2020,GELDING,,A:66,T:66,T:62,A:56,T:66,T:53
"BEACH BUOY (IRE)",2020,GELDING,"Brian Meehan",A:62,A:x,A:x,-,-,-
"BEAKSTOWN (IRE)",2013,GELDING,"Dan Skelton",S:107,S:137,S:134,S:135,S:118,S:130
"BEAN NORTY (GB)",2016,FILLY,"Tom Lacey",H:x,H:x,H:x,-,-,-
"BEANNAIGH DO (IRE)",2017,GELDING,"Sheila Lewis",H:x,H:x,H:x,N:x,-,-
"BEAR FORCE (IRE)",2020,GELDING,"Jonathan Portman",A:68,T:x,T:x,A:x,-,-
"BEAR FORCE ONE (GB)",2016,GELDING,"Roger Teal",A:90,A:72,A:80,T:66,T:79,T:96
"BEAR GHYLLS (IRE)",2015,GELDING,"Nicky Martin",S:124,S:134,H:x,H:140,H:x,H:x
"BEAR PROFIT (IRE)",2019,COLT,"Stuart Williams",A:85,A:85,T:76,T:74,T:82,T:x
"BEAR TO DREAM (IRE)",2019,FILLY,"Michael Attwater",A:51,A:57,T:61,T:61,T:48,T:57
"BEARAWAY (IRE)",2018,GELDING,"Seb Spencer",A:54,A:59,T:78,T:72,T:35,T:x
"BEARCARDI (IRE)",2019,GELDING,"Les Eyre",A:31,A:27,A:47,T:44,T:42,T:42
"BEARING BOB (GB)",2019,GELDING,"Tony Carroll",A:62,A:62,A:61,T:42,A:43,A:63
"BEARWITH (GB)",2018,GELDING,"Harriet Bethell",A:61,A:67,T:56,T:56,T:59,T:56
"BEAT BOX (FR)",2016,GELDING,"James Ewart",H:103,H:106,H:99,H:94,H:93,H:98
"BEAT THE BREEZE (GB)",2017,GELDING,"Jean-Rene Auvray",A:58,A:70,A:70,A:69,A:70,A:69
"BEAT THE EDGE (IRE)",2017,GELDING,"Tim Easterby",S:90,S:88,S:79,S:0,H:88,H:64
"BEAT THE HEAT (GB)",2017,GELDING,"Jim Boyle",H:106,H:101,A:60,H:93,H:93,H:72
"BEATTHEBULLET (IRE)",2014,GELDING,"Rebecca Curtis",S:0,S:98,S:0,S:0,S:114,S:0
"BEATTIE IS BACK (GB)",2019,GELDING,"Richard Fahey",A:80,A:77,A:60,A:68,A:71,T:71
"BEAU BALKO (FR)",2018,GELDING,"Paul Nicholls",H:101,H:x,H:x,-,-,-
"BEAU GESTE (IRE)",2016,GELDING,"Tony Carroll",A:51,A:48,T:49,T:47,T:45,T:41
"BEAU JARDINE (IRE)",2018,GELDING,"John Bridger",A:55,A:61,A:x,T:54,T:67,A:68
"BEAU ROC (GB)",2020,FILLY,"George Boughey",A:x,T:x,A:x,-,-,-
"BEAUEN ARROWS (GB)",2019,GELDING,"Michael Attwater",A:53,A:63,T:38,A:x,A:x,A:x
"BEAUFORT WEST (IRE)",2014,GELDING,"Andy Irvine",H:0,H:79,H:102,H:99,H:0,H:103
"BEAULD AS BRASS (GB)",2020,GELDING,"George Baker",A:59,T:54,T:54,T:x,A:x,T:x
"BEAUPORT (IRE)",2016,GELDING,"Nigel Twiston-Davies",S:135,S:143,S:144,H:142,H:148,H:142
"BEAUTIFUL AISLING (GB)",2020,FILLY,,T:90,T:90,T:88,T:x,T:84,A:x
"BEAUTIFUL COLOUR (GB)",2019,FILLY,,T:58,A:66,A:x,T:56,A:x,-
"BEAUTIFUL CROWN (GB)",2018,GELDING,"Brett Johnson",A:68,A:69,A:59,A:48,T:49,T:69
"BEAUTIFUL EYES (GB)",2020,FILLY,"Charlie Johnston",A:56,A:x,A:71,T:60,T:67,T:82
"BEAUTIFUL MUM (GB)",2020,FILLY,,T:0,T:0,T:x,T:x,T:x,-
"BEAUTIFUL SECRET (GB)",2019,FILLY,"Saeed bin Suroor",T:80,T:87,T:86,T:87,A:x,T:x
"BEAUTIFUL STAR (IRE)",2020,FILLY,,A:45,A:62,T:66,A:54,T:x,T:x
"BEAUTIFUL SUNRISE (IRE)",2020,COLT,"James Ferguson",T:x,T:x,T:x,-,-,-
"BEAUTIFUL SURPRISE (GB)",2019,FILLY,"Nigel Hawke",H:0,A:62,T:28,T:74,A:x,T:x
"BEAUTRON (GB)",2020,FILLY,"Tim Easterby",T:x,T:x,T:x,-,-,-
"BEAUTY CHOICE (GB)",2017,GELDING,"Michael & David Easterby",T:65,A:74,T:58,T:72,T:74,T:69
"BEAUZON (GB)",2019,GELDING,"David O'Meara",A:56,A:67,A:0,A:55,A:59,A:60
"BEBRAVEFORGLORY (IRE)",2016,GELDING,"Evan Williams",H:61,S:88,S:89,S:92,S:88,S:87
"BEBSIDE BANTER (IRE)",2017,GELDING,"Chris Grant",H:81,H:65,H:x,H:x,H:x,-
"BECKY THE BOO (GB)",2016,FILLY,,S:0,H:92,H:x,H:x,H:x,H:x
"BECOMING (IRE)",2019,FILLY,"Robert Stephens",A:41,A:36,A:30,T:39,A:33,T:20
"BEDAZZLING (IRE)",2020,FILLY,"George Boughey",A:50,A:62,A:47,A:57,A:62,A:52
"BEDFORD FLYER (IRE)",2018,GELDING,"Les Eyre",A:86,A:99,A:97,T:62,T:89,T:57
"BEEBEE (GB)",2019,FILLY,"John Butler",A:52,A:42,T:0,T:47,A:24,T:29
"BEECHWOOD MICK (IRE)",2020,GELDING,,T:65,T:x,T:x,T:x,-,-
"BEELZEBUB (IRE)",2020,GELDING,"James Ferguson",A:x,A:x,T:x,-,-,-
"BEENO (IRE)",2009,GELDING,,H:103,H:99,H:95,H:100,H:59,H:105
"BEERENBERG (GB)",2019,GELDING,,H:52,H:x,A:56,A:55,A:51,A:48
"BEFORE MIDNIGHT (GB)",2013,GELDING,"Sam Thomas",S:144,S:139,S:131,S:148,S:146,S:147
"BEGGARMAN (GB)",2017,GELDING,"Hughie Morrison",T:41,A:0,A:65,T:64,A:71,T:63
"BEGIN THE LUCK (IRE)",2016,GELDING,"Brian Barr",H:92,H:94,H:92,H:91,H:82,H:65
"BEGOODTOYOURSELF (IRE)",2015,GELDING,"Christopher Kellett",S:46,S:76,S:65,S:72,S:76,S:78
"BEHIND THE SCENES (IRE)",2020,FILLY,"James Tate",T:x,A:x,-,-,-,-
"BELARGUS (FR)",2015,GELDING,"Nick Gifford",S:0,S:114,S:114,H:124,S:0,S:137
"BELHAVEN (IRE)",2019,FILLY,"Harry Eustace",T:80,T:70,T:66,T:79,T:73,T:x
"BELIEVE IN LOVE (IRE)",2017,FILLY,,T:105,T:102,T:103,T:93,T:85,T:0
"BELIEVING (IRE)",2020,FILLY,"George Boughey",T:98,T:94,T:98,A:98,T:82,T:93
"BELINDA BELL (GER)",2020,FILLY,"Richard Fahey",T:x,A:x,T:x,-,-,-
"BELISA DE VEGA (IRE)",2019,FILLY,"Jonathan Portman",A:59,A:56,A:61,A:60,A:55,T:27
"BELL ROCK (GB)",2016,GELDING,,T:101,T:99,T:93,T:94,T:102,T:93
"BELL SHOT (IRE)",2019,GELDING,,T:85,T:85,T:79,T:79,T:75,T:x
"BELLA BEAU (IRE)",2015,FILLY,,H:74,H:76,H:74,H:76,H:65,H:75
"BELLA BLUESKY (GB)",2016,FILLY,"Ewan Whillans",H:99,H:60,H:x,H:x,T:x,H:x
"BELLA CAELIA (GB)",2019,FILLY,,A:33,T:41,T:23,A:38,T:50,T:44
"BELLA CIAO (GB)",2017,FILLY,"Martin Keighley",H:x,H:x,H:x,N:x,N:x,N:x
"BELLA COLOROSSA (GB)",2018,FILLY,"John Best & Karen Jewell",A:48,A:46,A:41,A:0,T:41,A:50
"BELLA KOPELLA (IRE)",2020,FILLY,"Nigel Tinkler",A:56,A:54,A:50,T:x,T:x,T:x
"BELLA VENETA (GB)",2019,FILLY,,T:47,T:40,T:x,A:x,A:x,-
"BELLAGIO MAN (IRE)",2018,GELDING,"Antony Brittain",A:80,A:80,A:81,A:79,A:78,A:78
"BELLAMY'S GREY (GB)",2012,GELDING,"Carroll Gray",H:81,H:65,S:70,H:0,H:90,H:85
"BELLARENA LADY (GB)",2019,FILLY,,A:54,T:63,T:81,T:x,T:61,T:x
"BELLATRIXSA (IRE)",2017,FILLY,"Venetia Williams",S:113,T:81,H:130,H:126,H:132,H:121
"BELLAZZO (IRE)",2020,GELDING,,A:45,T:52,T:x,A:x,T:x,-
"BELLE BOUTEILLE (IRE)",2019,FILLY,,A:0,A:25,T:41,A:x,T:x,T:x
"BELLE FOURCHE (IRE)",2019,FILLY,,A:69,A:64,A:77,A:77,A:65,-
"BELLE NA BANN (IRE)",2016,FILLY,"Micky Hammond",H:80,H:69,H:76,H:84,H:81,H:70
"BELLE OF ANNANDALE (IRE)",2019,FILLY,"Keith Dalgleish",T:67,T:59,T:65,T:70,T:66,T:69
"BELLES BENEFIT (IRE)",2016,FILLY,"Ben Case",H:100,H:108,H:x,H:x,-,-
"BELLEVUE LAD (GB)",2018,GELDING,,T:13,T:29,T:36,T:44,T:41,T:42
"BELLOCCIO (FR)",2018,GELDING,"David Menuisier",A:108,A:107,T:52,T:87,T:55,A:100
"BELLOSA (IRE)",2018,FILLY,,T:72,T:83,T:90,T:88,T:82,A:100
"BELLS OF PETERBORO (IRE)",2015,GELDING,"Tim Vaughan",H:126,S:118,S:123,S:121,S:118,H:124
"BELLS OF RUTLAND (IRE)",2017,GELDING,"Tim Vaughan",H:0,H:3,H:15,H:x,H:x,H:x
"BELLS OF STAMFORD (IRE)",2017,GELDING,"Tim Vaughan",S:72,S:80,H:80,H:83,H:62,H:x
"BELLSHILL BEAUTY (IRE)",2019,FILLY,"Sarah-Jayne Davies",A:42,A:x,A:41,A:49,A:37,T:25
"BELON (IRE)",2020,COLT,,T:61,T:x,T:x,T:x,-,-
"BELOVED OF ALL (IRE)",2019,GELDING,"Christine Dunnett",A:0,A:23,A:0,T:0,T:22,T:6
"BELSITO (GER)",2020,COLT,"Kevin Ryan",T:x,A:x,T:x,-,-,-
"BELT BUCKLE (GB)",2019,FILLY,"John & Thady Gosden",T:87,A:x,-,-,-,-
"BELTANE (IRE)",2019,GELDING,"Keith Dalgleish",A:70,A:65,T:52,T:65,T:63,T:69
"BELVEDERE BLAST (IRE)",2018,GELDING,"Adrian Keatley",H:0,H:86,H:57,H:105,A:30,H:94
"BEM TE VI (IRE)",2020,COLT,,A:52,A:58,T:x,T:x,A:x,-
"BEMPTON CLIFFS (IRE)",2015,GELDING,"Sam Allwood",S:97,S:105,S:97,S:102,S:95,S:83
"BEN ASKER (IRE)",2018,GELDING,"Paul Robson",T:57,T:60,T:56,H:x,H:x,H:x
"BEN BRODY (IRE)",2010,GELDING,"D. J. Jeffreys",S:78,H:0,H:85,S:99,H:98,S:77
"BEN BUIE (IRE)",2014,GELDING,"Martin Keighley",S:92,S:87,S:89,S:88,S:84,S:84
"BEN BULBEN (IRE)",2017,GELDING,"Harry Fry",H:98,H:85,H:x,H:x,H:x,N:x
"BEN DIKDUK (IRE)",2020,GELDING,"William Knight",A:52,A:x,T:x,A:x,-,-
"BEN DOON (IRE)",2019,GELDING,,T:23,T:25,T:x,T:x,T:x,-
"BEN LILLY (IRE)",2017,GELDING,"David Pipe",H:97,H:106,H:101,H:107,H:x,H:x
"BEN MACDUI (IRE)",2018,GELDING,"Paul Midgley",A:62,A:59,T:67,T:65,T:53,T:74
"BENACK (IRE)",2016,GELDING,"James Ewart",S:109,H:104,H:x,H:x,H:x,-
"BENACRE (IRE)",2020,COLT,"Charlie Johnston",T:92,T:86,T:64,T:x,T:x,-
"BENADALID (GB)",2015,GELDING,"Chris Fairhurst",T:53,T:66,A:63,T:64,T:76,T:74
"BENANDGONE (GB)",2017,GELDING,"Brian Barr",H:94,H:87,H:105,H:x,H:x,H:x
"BENEDICT WILDES (IRE)",2019,GELDING,,T:0,T:x,T:35,A:x,A:x,A:x
"BENEFICIARY (GB)",2019,GELDING,"K. R. Burke",A:64,A:56,A:65,A:x,A:x,A:x
"BENEFIT (GB)",2019,FILLY,,T:97,T:104,T:95,T:88,T:77,T:92
"BENIGN DICTATOR (IRE)",2017,GELDING,"Olly Murphy",H:x,H:0,H:x,H:x,H:x,N:x
"BENITO (FR)",2017,GELDING,"Lizzie Quinlan",H:0,H:79,H:101,H:99,H:101,H:89
"BENJAMIN BEAR (IRE)",2019,GELDING,"Alan King",H:81,A:46,T:62,T:68,T:56,A:65
"BENNY AND THE JETS (IRE)",2016,GELDING,,T:0,A:89,A:87,A:84,A:80,A:85
"BENNY'S OSCAR (IRE)",2015,GELDING,"Dan Skelton",H:0,H:50,S:0,H:x,H:x,-
"BENNYS KING (IRE)",2011,GELDING,"Dan Skelton",S:0,S:0,S:0,S:0,S:152,S:157
"BENSINI (GB)",2016,GELDING,"Robbie Llewellyn",H:35,H:x,H:x,H:x,N:x,-
"BENSON (GB)",2015,GELDING,"Sandy Thomson",H:134,H:128,H:125,H:125,H:103,H:123
"BENTS HOLLOW (IRE)",2017,FILLY,"Donald McCain",H:x,H:x,-,-,-,-
"BENY NAHAR ROAD (IRE)",2019,COLT,"Paul Nicholls",T:59,A:x,A:x,T:x,A:x,-
"BERGERAC (IRE)",2018,GELDING,"Kevin Ryan",A:96,T:87,T:97,T:97,T:93,T:88
"BERINGER (GB)",2015,GELDING,"Alan King",T:99,T:101,T:106,T:104,T:77,T:97
"BERKSHIRE BREEZE (IRE)",2019,COLT,"Andrew Balding",A:x,T:77,T:85,T:x,T:x,T:x
"BERKSHIRE CRUZ (IRE)",2020,COLT,"Andrew Balding",A:x,A:x,A:x,-,-,-
"BERKSHIRE PHANTOM (IRE)",2020,GELDING,"Andrew Balding",A:x,T:x,T:x,T:x,T:x,-
"BERKSHIRE REBEL (IRE)",2019,GELDING,,T:66,T:49,T:87,T:76,T:90,T:94
"BERKSHIRE ROCCO (FR)",2017,GELDING,"Andrew Balding",A:100,A:100,A:92,T:86,T:101,T:108
"BERKSHIRE SHADOW (GB)",2019,GELDING,"Andrew Balding",T:103,T:98,T:108,T:111,T:111,T:110
"BERMEO (IRE)",2011,GELDING,"Harry Fry",S:0,S:0,S:0,S:115,S:46,S:0
"BERMUDIANA (FR)",2019,FILLY,"David Menuisier",A:18,A:22,A:x,A:x,A:x,-
"BERNADINE (IRE)",2020,FILLY,"James Fanshawe",A:63,A:59,A:50,A:x,T:x,T:x
"BERNARD SPIERPOINT (GB)",2017,GELDING,"Darryll Holland",A:42,A:50,A:51,A:39,A:49,A:47
"BERNARDO O'REILLY (GB)",2014,GELDING,"Richard Spencer",T:77,T:83,T:87,T:77,T:85,T:85
"BERNIE THE BEAR (IRE)",2020,COLT,"Richard Fahey",T:35,A:47,A:48,T:x,T:x,T:x
"BERRA GO (IRE)",2019,GELDING,,T:47,A:55,A:56,A:50,A:52,T:x
"BERRAHRI (IRE)",2011,GELDING,"John Best & Karen Jewell",T:69,A:73,A:0,A:71,A:53,A:72
"BERRY EDGE (IRE)",2018,GELDING,"Michael Dods",A:62,T:67,T:67,T:66,T:66,T:51
"BERRYGAR (GB)",2019,GELDING,,T:49,A:54,A:65,A:63,T:48,T:x
"BERT KIBBLER (GB)",2018,GELDING,"David & Nicola Barron",A:35,A:75,A:67,A:58,T:40,T:62
"BERT WILSON (IRE)",2017,GELDING,"Nigel Hawke",H:91,S:0,H:82,H:0,H:0,H:91
"BERTIE'S BANDANA (IRE)",2017,GELDING,"Jonjo O'Neill",H:0,H:0,H:x,H:x,H:x,N:x
"BERTIE'S WISH (IRE)",2018,GELDING,"Jennie Candlish",H:x,H:x,H:x,A:68,A:73,T:63
"BERTOG (GB)",2015,GELDING,,T:0,A:44,A:37,A:53,A:36,A:43
"BERWICK LAW (IRE)",2020,FILLY,"Charlie Johnston",A:67,A:67,A:50,A:61,T:x,T:x
"BERYL BURTON (GB)",2018,FILLY,"John Berry",T:38,T:58,T:58,T:52,T:56,T:43
"BEST MATE DAVE (GB)",2017,GELDING,"D. J. Jeffreys",H:x,H:x,H:x,N:x,N:x,-
"BEST PAL (IRE)",2017,GELDING,"Samuel Drinkwater",H:58,H:66,H:54,H:52,H:58,H:x
"BEST TRITION (IRE)",2015,GELDING,"Olly Murphy",S:114,S:101,H:x,H:x,H:x,H:x
"BEST WISHES (GB)",2019,FILLY,,T:34,T:54,T:x,T:x,T:x,-
"BESTIARIUS (IRE)",2012,GELDING,"Gillian Boanas",H:0,H:93,H:81,H:84,H:93,H:93
"BET ME (IRE)",2020,FILLY,,T:87,T:89,T:x,-,-,-
"BETHERSDEN BOY (IRE)",2019,GELDING,"Richard Hughes",A:30,A:69,A:69,A:69,A:69,T:54
"BETTER GETALONG (IRE)",2011,GELDING,"Nicky Richards",H:100,H:119,H:116,H:117,H:116,S:106
"BETTER HALF (GB)",2019,FILLY,,T:48,T:55,A:70,T:x,T:x,T:x
"BETTERFOREVERYONE (GB)",2017,GELDING,"Alan King",H:95,H:113,H:x,H:x,-,-
"BETTERMENT (GB)",2020,FILLY,"Jane Chapple-Hyam",A:x,A:52,A:x,A:64,A:x,T:x
"BETTY BALOO (GB)",2016,FILLY,"Tim Easterby",S:102,S:109,H:109,H:109,H:105,H:x
"BETTY'S BANJO (IRE)",2017,FILLY,"Jonjo O'Neill",H:0,H:x,H:x,H:x,-,-
"BETTY'S BELLE (GB)",2017,FILLY,"Ben Pauling",H:78,H:x,H:x,H:x,N:x,N:x
"BETWEEN THE SHEETS (IRE)",2019,FILLY,,T:x,T:52,A:62,A:62,A:61,A:63
"BETWEEN THE WATERS (IRE)",2011,GELDING,"Mrs Karen Clifton",S:40,S:79,H:0,H:62,S:83,S:78
"BETWEENTHESTICKS (GB)",2020,GELDING,"Jack Channon",T:73,T:81,A:76,T:74,T:x,T:x
"BEYOND ALL DREAMS (GB)",2019,GELDING,,T:30,T:40,T:19,T:x,T:x,T:x
"BEYOND EQUAL (GB)",2015,GELDING,"Stuart Kittow",A:82,T:77,T:82,T:60,T:80,T:78
"BEYOND REDEMPTION (IRE)",2014,GELDING,"Harry Derham",S:109,H:x,H:x,N:x,-,-
"BEYOND THE CLOUDS (GB)",2013,GELDING,,H:139,H:137,H:135,H:126,S:135,S:141
"BEZZAS LAD (IRE)",2017,GELDING,"Tony Carroll",A:64,A:43,A:34,A:41,T:66,T:36
"BHUBEZI (GB)",2018,GELDING,"Patrick Chamings",A:55,A:62,T:65,A:44,T:56,T:61
"BIBULOUS (IRE)",2018,GELDING,,A:68,T:70,T:60,T:68,T:67,T:64
"BIBURYINMAY (GB)",2019,FILLY,"John Gallagher",T:x,A:x,A:x,-,-,-
"BICEP (IRE)",2019,GELDING,"Grant Tuer",T:69,T:72,T:67,T:53,T:63,T:62
"BIELSA (IRE)",2015,GELDING,"Kevin Ryan",T:0,T:88,T:96,A:96,T:95,T:96
"BIELSA'S BUCKET (GB)",2019,GELDING,,A:x,T:x,A:x,-,-,-
"BIG ARTHUR (GB)",2017,GELDING,"Harriet Graham & Gary Rutherford",H:0,H:x,H:x,H:x,H:x,N:x
"BIG BAD BEAR (IRE)",2014,GELDING,"Nicky Richards",H:104,H:107,H:121,H:106,H:116,H:121
"BIG BARD (GB)",2018,GELDING,"Gary Moore",A:55,A:43,A:61,T:48,T:65,T:63
"BIG BEAR HUG (GB)",2019,FILLY,"Adam West",T:38,T:62,T:57,T:67,T:54,T:65
"BIG BEE HIVE (IRE)",2017,GELDING,"Joanne Foster",H:0,-,-,-,-,-
"BIG BOY BOBBY (IRE)",2018,GELDING,"Alan King",H:120,H:116,H:107,H:0,H:111,H:x
"BIG CHANGES (GB)",2017,GELDING,"L J Morgan",S:97,S:96,S:100,S:92,S:78,H:x
"BIG CHEESE (FR)",2019,GELDING,"Edward Bethell",T:x,T:x,T:x,-,-,-
"BIG DIFFERENCE (IRE)",2013,GELDING,"Tim Reed",S:87,S:87,S:106,S:108,S:108,S:0
"BIG DUTCHIE (IRE)",2018,GELDING,"Phillip Makin",A:46,A:42,A:46,A:45,A:41,T:43
"BIG IMPACT (GB)",2017,GELDING,"Robyn Brisland",A:57,A:55,A:55,A:54,A:58,A:57
"BIG JIMBO (GB)",2017,GELDING,"Gary Moore",A:47,H:87,A:47,H:0,H:94,T:46
"BIG LITTLE LIE (FR)",2018,FILLY,,T:43,T:54,T:54,A:56,A:57,T:60
"BIG MEETING (IRE)",2017,GELDING,,T:91,A:94,A:x,T:x,T:x,-
"BIG MUDDY (GB)",2017,GELDING,"Suzzanne France",T:0,T:50,T:x,A:0,A:37,A:38
"BIG NARSTIE (FR)",2018,GELDING,"Michael Appleby",A:62,A:53,A:60,A:67,A:74,T:55
"BIG NASTY (GB)",2013,GELDING,,H:x,S:120,S:120,S:120,S:0,S:122
"BIG PICTURE (GB)",2012,GELDING,,H:0,H:70,H:72,H:86,H:66,H:53
"BIG R (IRE)",2020,COLT,"Eve Johnson Houghton",A:x,A:x,T:x,-,-,-
"BIG RIVER (IRE)",2010,GELDING,"Lucinda Russell",S:129,S:0,S:123,S:139,S:136,S:143
"BIG TIME MAYBE (IRE)",2015,GELDING,"Phil McEntee",A:27,A:37,A:40,A:50,A:48,T:48
"BIG WING (IRE)",2017,GELDING,"Lee Carter",A:60,A:59,A:54,A:30,A:57,H:x
"BIGBADBOY (IRE)",2013,GELDING,"Clive Mulhall",A:22,T:39,T:41,T:33,A:44,T:44
"BIGGLES (GB)",2017,GELDING,"Ralph Beckett",T:100,T:99,T:90,A:86,A:89,A:81
