Year Foaled,Sire,Dam,Sex,Consignor,Price (€),Purchaser,Price (£),Price (gns)
2021.0,Kessaar (IRE),Angel of Light (IRE),Filly,Railstown Stud,18000.0,Compas Equine/Saiel Stud      ,,
2021.0,Invincible Army (IRE),Angelic Light (IRE),Colt,Yeomanstown Stud,42000.0,Stack Media                   ,,
2021.0,Elzaam (AUS),Angelou (GB),Filly,Ballyhane Stud,,Vendor (5000),,
2021.0,Dandy Man (IRE),Angels (GB),Filly,Rathbride Farm,5000.0,Francesco Marco Ibba          ,,
2021.0,Fast Company (IRE),Angevine (GB),Filly,Church View Stables,21000.0,Janda BC                      ,,
2021.0,Free Eagle (IRE),Aniarnota (IRE),Filly,Irish National Stud,4000.0,Kishore Mirpuri               ,,
2021.0,Holy Roman Emperor (IRE),Anna David (GB),Filly,Olive O'Connor Bloodstock,4000.0,New Racing Factory/Dettori    ,,
2021.0,Profitable (IRE),Appreciating (GB),Colt,Clonbonny Stud,9500.0,Walsh/Easterby                ,,
2021.0,Raven's Pass (USA),Araniya (FR),Colt,Vinesgrove Stud,,Vendor (12000),,
2021.0,Le Brivido (FR),Arbella (GB),Filly,Mount Eaton Stud,16000.0,Gay Kelleway Racing           ,,
2021.0,Soldier's Call (GB),Ariena (IRE),Filly,Ballough House Stud,25000.0,Sean Quinn                    ,,
2021.0,National Defense (GB),Artisan Doue (IRE),Colt,Butlersgrove Stud,6500.0,Francesca Succi               ,,
2021.0,Zoffany (IRE),Arya (USA),Colt,Ballyshannon Stud,5500.0,Kishore Mirpuri                (PS),,
2021.0,Inns of Court (IRE),Ascot Dreamer (GB),Colt,Kilpatrick Farm,22000.0,Eoin Sullivan - Indonesia     ,,
2021.0,Footstepsinthesand (GB),Asteya (IRE),Colt,The Castlebridge Consignment,16000.0,Peter Nolan Bloodstock        ,,
2021.0,Raven's Pass (USA),Atlantic Queen (IRE),Filly,Railstown Stud,25000.0,Nick Bradley Racing/LDS       ,,
2021.0,Dandy Man (IRE),Autograph (GB),Colt,Pier House Stud,20000.0,Sylvester Kirk Racing         ,,
2021.0,Golden Horn (GB),Autumn Lily (USA),Colt,Ringfort Stud,,Withdrawn,,
2021.0,Belardo (IRE),Ava Star (IRE),Colt,Ballintry Stud,,Not Sold (9000),,
2021.0,Calyx (GB),Awesome Kitty (IRE),Filly,Camas Park Stud,22000.0,Elisa Castelli                ,,
2021.0,Havana Gold (IRE),Bahamamia (GB),Colt,Clonmult Farm,17000.0,Knockgraffon                  ,,
2021.0,Dragon Pulse (IRE),Baltrasna Lady (GB),Colt,Woodtown House Stud,7000.0,Janda BC                      ,,
2021.0,El Kabeir (USA),Barbieri (IRE),Colt,Grangemore Stud,32000.0,Marco Bozzi BS                ,,
2021.0,Fastnet Rock (AUS),Beat of Love (GB),Filly,Grove Stud,,Not Sold (29000),,
2021.0,El Kabeir (USA),Bella Ophelia (IRE),Filly,Yeomanstown Stud,6000.0,Edgar Byrne                   ,,
2021.0,Holy Roman Emperor (IRE),Benefaction (IRE),Colt,Forenaghts Stud,,Withdrawn,,
2021.0,Blue Point (IRE),Beneventa (GB),Colt,Roundhill Stud,45000.0,Stack Media                   ,,
2021.0,Tamayuz (GB),Bethrah (IRE),Colt,Derrinstown Stud,43000.0,Marco Bozzi BS                ,,
2021.0,Coulsty (IRE),Betty Fontaine (IRE),Colt,The Castlebridge Consignment,13000.0,Con Marnane                   ,,
2021.0,Sioux Nation (USA),Beyond Dance (IRE),Colt,Nenthorne Farm,21000.0,Adam Wyrzyk                   ,,
2021.0,Belardo (IRE),Bint Nayef (IRE),Filly,Roundhill Stud,3000.0,Volteo Horse Service          ,,
2021.0,Smooth Daddy (USA),Bird of Light (IRE),Colt,Tincoon Stables,26000.0,Compas Equine/Adrian Keatley  ,,
2021.0,Highland Reel (IRE),Blue Cloud (IRE),Filly,The Castlebridge Consignment,11000.0,Rory Cleary                   ,,
2021.0,Invincible Army (IRE),Blushing Gal (IRE),Filly,Whiteoaks,,Not Sold (6000),,
2021.0,Galileo Gold (GB),Bo Bridget (IRE),Filly,Lewinstown Farm,,Withdrawn,,
2021.0,Soldier's Call (GB),Boca Dancer (IRE),Colt,Ballyhane Stud,18000.0,Barry Lynch                   ,,
2021.0,Free Eagle (IRE),Bonnefio (GB),Filly,Camas Park Stud,16000.0,Richard O'Brien Racing        ,,
2021.0,Raven's Pass (USA),Bora Blues (GB),Colt,Ard Erin Stud,3000.0,Janda BC                      ,,
2021.0,Saxon Warrior (JPN),Boundless Joy (AUS),Colt,Olive O'Connor Bloodstock,,Vendor (34000),,
2021.0,Zoffany (IRE),Brambleberry (GB),Colt,The Castlebridge Consignment,,Not Sold (19000),,
2021.0,Gregorian (IRE),Broadway Musical (IRE),Filly,Rathasker Stud,,Vendor (12000),,
2021.0,Soldier's Call (GB),Broken Time (IRE),Colt,Ballyhane Stud,,Withdrawn,,
2021.0,Le Brivido (FR),Broughtons Charm (IRE),Colt,Rathasker Stud,35000.0,Joanna Morgan                 ,,
2021.0,Gleneagles (IRE),Brown Diamond (IRE),Filly,Parkway Farm,7000.0,Scuderia Damone               ,,
2021.0,Zoffany (IRE),Busy Bimbo (IRE),Colt,Nenthorne Farm,,Vendor (15000),,
2021.0,Ribchester (IRE),Buzkashi (IRE),Colt,Kelburn Park,6000.0,Bluewater Bloodstock          ,,
2021.0,Land Force (IRE),Caelica (IRE),Filly,Baroda Stud,19000.0,James Barcoe                  ,,
2021.0,Magna Grecia (IRE),Callisto Star (IRE),Colt,Ballybin Stud,145000.0,Getinthegame.ie/Archdale BS   ,,
2021.0,New Bay (GB),Callums Call (IRE),Filly,Galbertstown Stables,12000.0,Denis Hogan                   ,,
2021.0,Free Eagle (IRE),Cant Hurry Love (GB),Filly,Vinesgrove Stud,4000.0,Alan Persse                   ,,
2021.0,Fast Company (IRE),Cappuccino (IRE),Filly,Rathasker Stud,60000.0,Willie McCreery               ,,
2021.0,Mehmas (IRE),Careless Whisper (IRE),Colt,The Castlebridge Consignment,,Withdrawn,,
2021.0,Kuroshio (AUS),Carry On Katie (USA),Colt,Baroda Stud,,Vendor (30000),,
2021.0,Lope de Vega (IRE),Carte de Visite (USA),Colt,Jossestown  Farm,22000.0,Paragon Bloodstock            ,,
2021.0,Phoenix of Spain (IRE),Centime (GB),Filly,Tinnakill House,15000.0,Peter Fahey / Tom Keane       ,,
2021.0,Dandy Man (IRE),Ceol Loch Aoidh (IRE),Colt,Ballyhane Stud,22000.0,Ollie Pears/CCR               ,,
2021.0,Teofilo (IRE),Cherry Creek (IRE),Colt,Tinnakill House,,Withdrawn,,
2021.0,Inns of Court (IRE),Chiara Wells (IRE),Filly,"Fitzgerald, Ms. Alice",40000.0,Gavin Cromwell & Alan Hannigan,,
2021.0,Inns of Court (IRE),China In My Hands (GB),Filly,Peter Nolan Bloodstock,30000.0,Knockgraffon                  ,,
2021.0,Bungle Inthejungle (GB),Chinese Democracy (USA),Filly,Northern Bloodstock Ltd,7000.0,William Kennedy               ,,
2021.0,Gleneagles (IRE),Classic Remark (IRE),Filly,Clonbonny Stud,,Vendor (28000),,
2021.0,Soldier's Call (GB),Classy Lassy (IRE),Colt,Acorn Stud (Co. Wicklow),,Withdrawn,,
2021.0,Cotai Glory (GB),Clef (GB),Filly,Owenstown Stud,,Not Sold (29000),,
2021.0,Make Believe (GB),Cliodhna (IRE),Colt,Ballylinch Stud,24000.0,Willie McCreery               ,,
2021.0,Kuroshio (AUS),Clodovine (FR),Filly,Olive O'Connor Bloodstock,,Vendor (9000),,
2021.0,Saxon Warrior (JPN),Colour Rhapsody (IRE),Colt,Ballybin Stud,3000.0,C King                        ,,
2021.0,Mastercraftsman (IRE),Comeraincomeshine (IRE),Filly,Galbertstown Stables,,Withdrawn,,
2021.0,Make Believe (GB),Coming Back (GB),Filly,Kellsgrange Stud,5000.0,Volteo Horse Service          ,,
2021.0,Unfortunately (IRE),Concra Girl (IRE),Colt,Oak Lodge & Springfield House Stud,24000.0,LDS Bloodstock                ,,
2021.0,Zoffany (IRE),Constant Comment (IRE),Colt,Precision Bloodstock,5000.0,Janda BC                      ,,
2021.0,Ribchester (IRE),Conveyor Belt (IRE),Colt,Railstown Stud,40000.0,Bobby O'Ryan                  ,,
2021.0,Study of Man (IRE),Cosmic Fire (FR),Colt,Camas Park Stud,50000.0,Horses & Berries sl           ,,
2021.0,Time Test (GB),Counter Spirit (IRE),Colt,Liscullen Stud,18000.0,Woodlands Lodge               ,,
2021.0,Territories (IRE),Crimson Lass (IRE),Filly,Kildaragh Stud,,Vendor (24000),,
2021.0,U S Navy Flag (USA),Crosstalk (IRE),Colt,Camas Park Stud,10000.0,Andrew Slattery                (PS),,
2021.0,Bungle Inthejungle (GB),Dabista (IRE),Colt,Ard Erin Stud,9000.0,Bobby O'Ryan                  ,,
2021.0,Kuroshio (AUS),Daffy Jane (GB),Colt,Mount Eaton Stud,30000.0,Jamie Piggott / Nigel Tinkler ,,
2021.0,Acclamation (GB),Dafia (FR),Filly,Clonmult Farm,5000.0,New Racing Factory/Liciardello,,
2021.0,Footstepsinthesand (GB),Dame d'Honneur (IRE),Colt,Abbeville Stud,32000.0,Gaelic Bloodstock             ,,
2021.0,Holy Roman Emperor (IRE),Dame Lucy (IRE),Filly,Coneyboro Stud Farm,30000.0,Janda BC                      ,,
2021.0,Ribchester (IRE),Dance Bid (GB),Colt,Kilcoo Stud,8000.0,Larry Mulvany                 ,,
2021.0,Ten Sovereigns (IRE),Dance Hall Girl (IRE),Filly,Hollyhill Stud,,Withdrawn,,
2021.0,Invincible Army (IRE),Dancewithastranger (IRE),Colt,Grangemore Stud,5500.0,Foxley Stable                 ,,
2021.0,Sioux Nation (USA),Dancing Around (GB),Filly,Ashwood House Stables,50000.0,Alessandro Marconi            ,,
2021.0,Gustav Klimt (IRE),Danehill Dreamer (USA),Colt,Jossestown  Farm,9000.0,Horses & Berries sl           ,,
2021.0,The Grey Gatsby (IRE),Danni Samuel (IRE),Colt,Evergreen Stud,28000.0,MRC International             ,,
2021.0,Calyx (GB),Dara's Girl (IRE),Filly,Killourney Mor Farm,,Withdrawn,,
2021.0,Phoenix of Spain (IRE),Dara's Image (IRE),Filly,Nanallac Stud,23000.0,McCormack                     ,,
2021.0,Invincible Army (IRE),Dark Seductress (IRE),Filly,Old Carhue Stud,23000.0,Razza Latina                  ,,
2021.0,Dandy Man (IRE),Debatable (IRE),Filly,The Castlebridge Consignment,11000.0,New Racing Factory/Dettori    ,,
2021.0,Bungle Inthejungle (GB),Debutante's Ball (IRE),Colt,Rathasker Stud,,Vendor (3000),,
2021.0,Calyx (GB),Deira Miracle (IRE),Filly,Highpark,4000.0,Philip Egan                   ,,
2021.0,Awtaad (IRE),Delicate (GB),Filly,Kildaragh Stud,10000.0,Donal Kinsella                ,,
2021.0,Churchill (IRE),Desert Lily (IRE),Filly,Olive O'Connor Bloodstock,,Vendor (12000),,
2021.0,Saxon Warrior (JPN),Desert Version (GB),Colt,Baroda Stud,80000.0,Federico Barberini            ,,
2021.0,Golden Horn (GB),Dettoria (GB),Filly,Tara Stud,50000.0,Gerry Hogan BS                ,,
2021.0,Dark Angel (IRE),Dew (IRE),Filly,Carrigbeg Stud,22000.0,Jimmy Coogan                  ,,
2021.0,Dandy Man (IRE),Dhairkana (IRE),Colt,Ballintry Stud,,Withdrawn,,
2021.0,Raven's Pass (USA),Diamond (IRE),Colt,Roundhill Stud,8500.0,Janda BC                      ,,
2021.0,Make Believe (GB),Diamond Sky (IRE),Colt,Ballylinch Stud,6500.0,Janda BC                      ,,
2021.0,Cloth of Stars (IRE),Dione (FR),Colt,Clifton Farm,26000.0,Stamina Turf                  ,,
2021.0,U S Navy Flag (USA),Discover More (IRE),Filly,Highpark,6000.0,Kishore Mirpuri               ,,
2021.0,Free Eagle (IRE),Discreet Spy (USA),Filly,Irish National Stud,3500.0,Tracey Collins                ,,
2021.0,Bungle Inthejungle (GB),Divine Quickstep (IRE),Filly,Rathasker Stud,3000.0,Romano Srls                   ,,
2021.0,Coulsty (IRE),Dream Belle (GB),Colt,Harcourt Stud,,Vendor (15000),,
2021.0,U S Navy Flag (USA),Dream High (IRE),Filly,Loughmore Stables,10000.0,R F O'Brien Racing/Fairview St,,
2021.0,Bungle Inthejungle (GB),Dream Wedding (GB),Colt,Ladytown Stables,,Vendor (20000),,
2021.0,Inns of Court (IRE),Dreaming Lady (IRE),Filly,Rathasker Stud,33000.0,A Oliver                      ,,
2021.0,Phoenix of Spain (IRE),Dreaming of Rubies (GB),Colt,Newtown Stud,19000.0,R Goncalves/Diego Diaz        ,,
2021.0,Sir Prancealot (IRE),Dreamy Gal (IRE),Colt,Ringfort Stud,20000.0,Simon Madden                  ,,
2021.0,Ten Sovereigns (IRE),Dry Your Eyes (IRE),Filly,Mountarmstrong Stud,20000.0,CH Thoroughbreds              ,,
2021.0,Land Force (IRE),Duchy (GB),Filly,Mountarmstrong Stud,48000.0,Highclere Agency              ,,
2021.0,Phoenix of Spain (IRE),Dukinta (IRE),Filly,Browne Brothers Bloodstock,,Vendor (20000),,
2021.0,Cotai Glory (GB),Durga (IRE),Filly,Egmont Stud,9000.0,Walsh/Easterby                ,,
2021.0,Invincible Army (IRE),Dutch Heiress (GB),Filly,Railstown Stud,20000.0,Gemma Tutty/Kings Bloodstock  ,,
2021.0,Fastnet Rock (AUS),Eastern Appeal (IRE),Filly,Ard Erin Stud,18000.0,O'Donoghue Racing             ,,
2021.0,Australia (GB),Eccellente Idea (IRE),Filly,Herbertstown House Stud,22000.0,New Racing Factory/D Dittero  ,,
2021.0,Bungle Inthejungle (GB),Eileenlilian (GB),Filly,Rathasker Stud,4000.0,Raium Bloddstock              ,,
2021.0,Footstepsinthesand (GB),Ejadah (IRE),Filly,Highfield Cottage,21000.0,Beechlea Bloodstock/McCormack ,,
2021.0,Soldier's Call (GB),Elegant Drama (IRE),Filly,Ballyhane Stud,,Withdrawn,,
2021.0,Sea The Moon (GER),Eleni (FR),Filly,Churchland Stud,6500.0,Donal Kinsella                ,,
2021.0,Gleneagles (IRE),Elevator Action (IRE),Colt,Springfort Park Stud,,Vendor (8000),,
2021.0,Awtaad (IRE),Elusive Gold (IRE),Filly,Church View Stables,,Vendor (10000),,
2021.0,Showcasing (GB),Emboss (IRE),Colt,Garranehill Stud,5000.0,Haigney Bloodstock / BBB      ,,
2021.0,Profitable (IRE),Embraceable You (GB),Filly,Oghill House Stud,,Vendor (12000),,
2021.0,Dandy Man (IRE),Emmie (IRE),Colt,Rathbride Farm,12000.0,Vendor                        ,,
2021.0,Havana Grey (GB),Endless Tangent (IRE),Colt,Buckley Bloodstock,30000.0,Con Marnane                   ,,
2021.0,Profitable (IRE),Enilda (FR),Colt,Ballymorris Stud,,Vendor (18000),,
2021.0,Exceed And Excel (AUS),Enlace (GB),Colt,The Castlebridge Consignment,4000.0,Pat Flynn                     ,,
2021.0,Churchill (IRE),Eos (IRE),Colt,Baroda Stud,,Vendor (18000),,
2021.0,Raven's Pass (USA),Equanimity (IRE),Colt,Nanallac Stud,,Vendor (20000),,
2021.0,Profitable (IRE),Escallonia (IRE),Colt,Barouche Stud,,Vendor (20000),,
2021.0,Calyx (GB),Euphrasia (IRE),Colt,The Castlebridge Consignment,45000.0,Tally Ho Stud                 ,,
2021.0,Mehmas (IRE),Evening Dress (GB),Filly,Ballylinch Stud,14000.0,Patrick Vaughan/Barry Nolan   ,,
2021.0,Phoenix of Spain (IRE),Exclusive Dancer (GB),Filly,Meadagh Stud,5500.0,LM Bloodstock                  (PS),,
2021.0,Camacho (GB),Exempt (GB),Colt,Kildallan Farm,4500.0,Bobby O'Ryan                   (PS),,
2021.0,Waldgeist (GB),Exotic Isle (GB),Filly,Ballylinch Stud,22000.0,Tracey Collins                ,,
2021.0,Zoustar (AUS),Expecting To Fly (USA),Filly,Lodge Park Stud,50000.0,CK Partnership                ,,
2021.0,Tamayuz (GB),Fair Sailing (IRE),Colt,Airlie Stud,35000.0,Horses & Berries sl           ,,
2021.0,U S Navy Flag (USA),Fanzine (GB),Filly,Railstown Stud,29000.0,O'Byrne & Grassick            ,,
2021.0,Lightning Spear (GB),Farl (IRE),Colt,Garranehill Stud,38000.0,Kings Bloodstock/Gemma Tutty  ,,
2021.0,Fastnet Rock (AUS),Fashion Design (IRE),Colt,Churchland Stud,,Vendor (10000),,
2021.0,Dandy Man (IRE),Fauneta (FR),Filly,Ballyhane Stud,22000.0,Outsider Bloodstock           ,,
2021.0,Iffraaj (GB),Fawaayed (IRE),Colt,Drumree Lodge Stud,26000.0,Jim Ryan                      ,,
2021.0,Footstepsinthesand (GB),Femme Argent (IRE),Colt,Windy Farm,3000.0,Kilnacrandy Stables           ,,
2021.0,El Kabeir (USA),Fictitious (GB),Filly,Ballinalard Stud,7000.0,Anthony Brooke-Rankin         ,,
2021.0,Le Brivido (FR),Firebelly (GB),Colt,Boherguy Stud,16000.0,Kieran Cotter Racing          ,,
2021.0,Calyx (GB),Flowers Will Bloom (IRE),Filly,Castlehyde Stud,13000.0,Ian McCarthy                  ,,
2021.0,Dragon Pulse (IRE),Foot of Pride (IRE),Colt,Kellsgrange Stud,,Vendor (3000),,
2021.0,Profitable (IRE),Found You (USA),Colt,Boherguy Stud,20000.0,BBA Ireland                   ,,
2021.0,Saxon Warrior (JPN),Foxy Loxy (IRE),Colt,The Castlebridge Consignment,28000.0,New Approach BS/Marco Botti   ,,
2021.0,Elzaam (AUS),Freedom Come (IRE),Colt,Vinesgrove Stud,7000.0,William Kennedy               ,,
2021.0,Sea The Stars (IRE),Ganayem (IRE),Filly,Derrinstown Stud,37000.0,Slawomir Pegza                ,,
2021.0,Buratino (IRE),Gasta (IRE),Colt,Boston Stables,9000.0,Frank McNulty                 ,,
2021.0,Holy Roman Emperor (IRE),Gentle Breeze (IRE),Colt,Georgestown Farm,19000.0,Harristown Stables            ,,
2021.0,Awtaad (IRE),Giant Dancer (USA),Filly,Ringfort Stud,6000.0,Meadowview Stables            ,,
2021.0,Camacho (GB),Gibney (IRE),Filly,Rockview Stables,7500.0,Janda BC                      ,,
2021.0,U S Navy Flag (USA),Gift Dancer (GB),Filly,Castletown Stud,32000.0,Jim Ryan                      ,,
2021.0,Caravaggio (USA),Glenrowan Rose (IRE),Colt,Derrymore Farm,17000.0,Jim Ryan                      ,,
2021.0,Holy Roman Emperor (IRE),Glittering Star (FR),Filly,Rochestown Lodge Stud,,Vendor (14000),,
2021.0,Footstepsinthesand (GB),Golden Easter (USA),Colt,Wardstown Stud,17000.0,Michael Shefflin/Sultan Harib ,,
2021.0,Teofilo (IRE),Good Place (USA),Colt,Ringfort Stud,11000.0,Bobby O'Ryan                  ,,
2021.0,Raven's Pass (USA),Grand Treasure (IRE),Filly,Owenstown Stud,15000.0,T Hogan                       ,,
2021.0,Galileo Gold (GB),Green Briar (GB),Filly,Midlands Farm,,Not Sold (7000),,
2021.0,Exceed And Excel (AUS),Green Swallow (FR),Colt,Browne Brothers Bloodstock,20000.0,Ard Erin/Paragon/C Mahon      ,,
2021.0,Make Believe (GB),Guiletta (IRE),Filly,Ballyreddin Stud,8000.0,Janda BC                      ,,
2021.0,Waldgeist (GB),Hangzhou (GB),Colt,Monksland Stables,4500.0,Volteo Horse Service/El Piyaco,,
2021.0,Decorated Knight (GB),Harebell (IRE),Filly,Irish National Stud,3000.0,Janda BC                      ,,
2021.0,Soldier's Call (GB),Harmony Bay (IRE),Colt,Newtown Lodge Stud,21000.0,Joe Foley                     ,,
2021.0,Ribchester (IRE),Harpist (IRE),Filly,Rockfield Farm,23000.0,Cuala Racing                  ,,
2021.0,Soldier's Call (GB),Harvest Joy (IRE),Colt,Newtown Lodge Stud,6000.0,Barry Davis                   ,,
2021.0,Gleneagles (IRE),Hassaya (IRE),Filly,The Castlebridge Consignment,25000.0,Michael Shefflin/Nasir Askar  ,,
2021.0,Saxon Warrior (JPN),Hazium (IRE),Filly,Oghill House Stud,25000.0,Bobby O'Ryan                  ,,
2021.0,Zoffany (IRE),Heavenly Bliss (GB),Colt,Clonbonny Stud,,Not Sold,,
2021.0,Invincible Army (IRE),Heavens Peak (GB),Colt,Cross Stables,55000.0,Kevin Ross Bloodstock         ,,
2021.0,Cotai Glory (GB),Hellofahaste (GB),Colt,Owenstown Stud,,Withdrawn,,
2021.0,Dandy Man (IRE),Hidden Belief (IRE),Filly,Ballyhane Stud,60000.0,Stack Media                   ,,
2021.0,Saxon Warrior (JPN),High Gloss (GB),Colt,Galbertstown Stables,20000.0,Broadmeadow/Paul Carberry     ,,
2021.0,Inns of Court (IRE),Highest Praise (GB),Colt,Egmont Stud,25000.0,Gavin Cromwell & Alan Hannigan,,
2021.0,Bungle Inthejungle (GB),Hint of Red (IRE),Colt,Newlands House Stud,20000.0,C King                         (PS),,
2021.0,Magna Grecia (IRE),Hollie Point (GB),Filly,Rockfield Farm,20000.0,John McConnell/Jimmy Fyffe    ,,
2021.0,Soldier's Call (GB),Holy Norma (GB),Filly,Springwell Stud,14000.0,Pat Murphy                    ,,
2021.0,Invincible Army (IRE),Hope Against Hope (IRE),Filly,Wardstown Stud,40000.0,Joe Foley                     ,,
2021.0,Calyx (GB),Hot Legs (IRE),Colt,Baroda Stud,42000.0,CJW Bloodstock                ,,
2021.0,Calyx (GB),Iamfine (IRE),Colt,Pipe View Stud,,Not Sold (4000),,
2021.0,Calyx (GB),Inch Perfect (USA),Filly,Baroda Stud,14000.0,Janda BC                      ,,
2021.0,Ribchester (IRE),Infatuation (GB),Filly,Monksland Stables,3000.0,Thomas Lynch                  ,,
2021.0,Aclaim (IRE),Inflorescence (IRE),Colt,Lambertstown Stud,19000.0,Chris Timmons                 ,,
2021.0,Elzaam (AUS),Ingelara (IRE),Colt,Noralla Stud Farm,12000.0,Adam Potts/C Farrell BS        (PS),,
2021.0,Almanzor (FR),Ingot of Gold (GB),Filly,Tara Stud,,Withdrawn,,
2021.0,Churchill (IRE),Inhale (GB),Colt,Camas Park Stud,20000.0,Michael Shefflin              ,,
2021.0,Dandy Man (IRE),Irish Mint (IRE),Colt,Moat House Farm,,Not Sold (17000),,
2021.0,Ten Sovereigns (IRE),Irradiate (IRE),Filly,The Castlebridge Consignment,16000.0,Paragon Bloodstock            ,,
2021.0,Profitable (IRE),Isle of Avalon (IRE),Colt,Dunmahon Stud,19000.0,Janda BC                      ,,
2021.0,Camacho (GB),It's True (IRE),Colt,Boherguy Stud,,Withdrawn,,
2021.0,Success Days (IRE),Ittasal (GB),Filly,Rossenarra Stud,52000.0,KJ Condon/RPG Bloodstock      ,,
2020.0,Bated Breath (GB),Elbow Beach (GB),C,Charlock Stud,,Vendor,,8000.0
2020.0,Bungle Inthejungle (GB),Ellbeedee (IRE),C,Keith Harte (Agent),,Highflyer / Harry Dunlop,,13000.0
2020.0,Gleneagles (IRE),Erytheis (USA),F,The Castlebridge Consignment,,Paragon Bloodstock,,5000.0
2020.0,Night of Thunder (IRE),Estournel (GB),C,Trickledown Stud,,Con Marnane,,27000.0
2020.0,Mukhadram (GB),Euro Empire (USA),C,Bumble Mitchell,,Lot Withdrawn,,
2020.0,Nathaniel (IRE),Every Nice Girl (USA),C,New England Stud,,Donald McCain,,8000.0
2020.0,Ribchester (IRE),Evies Wish (IRE),C,The National Stud Ltd.,,JD Moore,,36000.0
2020.0,Iffraaj (GB),Farnesina (FR),C,Barton Stud,,Vendor,,20000.0
2020.0,Acclamation (GB),Fasten Up (GB),F,Barton Stud,,Eddie Linehan - Lackendarra Stables,,27000.0
2020.0,Tasleet (GB),Feint (GB),C,Whatton Manor Stud,,Fairgreen Stables,,17000.0
2020.0,Ulysses (IRE),Ferrier (GB),F,Clearwater Stud,,Lot Not Sold,,9000.0
2020.0,Harry Angel (IRE),First Destinity (FR),F,Silfield Bloodstock,,Tim Easterby,,13000.0
2020.0,Time Test (GB),Flame Out (GB),C,The National Stud Ltd.,,Blandford Bloodstock,,55000.0
2020.0,Decorated Knight (GB),Fligaz (FR),F,"Cooneen Stud, Ireland",,D Easterby,,15000.0
2020.0,Hawkbill (USA),Flora Medici (GB),C,Hegarty Bloodstock,,Felipe Lopes,,12000.0
2020.0,Cracksman (GB),Flourishing (GB),C,Houghton Bloodstock,,Vendor,,19000.0
2020.0,Cracksman (GB),Forbidden Love (GB),C,Houghton Bloodstock,,Blandford Bloodstock,,14000.0
2020.0,Nathaniel (IRE),Foundation Filly (GB),C,New England Stud,,Kern/Lillingston/ John Foote Bloodstock/ Roll The Dice Racing,,60000.0
2020.0,Nathaniel (IRE),Francisca (USA),F,Norris Bloodstock,,Lot Withdrawn,,
2020.0,Havana Grey (GB),Frequent (GB),F,Harry Dutfield,,Blandford Bloodstock,,82000.0
2020.0,Zoustar (AUS),Frosting (GB),F,Trinity Park Stud,,Lot Withdrawn,,
2020.0,Havana Grey (GB),Fyxenna (GB),F,Whitsbury Manor Stud,,Ed Walker Racing,,18000.0
2020.0,Acclamation (GB),Gamba (IRE),F,"Rathbarry Stud, Ireland",,Sherbourne Lodge,,10000.0
2020.0,Awtaad (IRE),Georgie Hyde (GB),F,"Corduff Stud, Ireland",,Ron Spore,,4000.0
2020.0,Mastercraftsman (IRE),Ghurfah (GB),C,"Baroda Stud, Ireland",,Paul & Oliver Cole,,17000.0
2020.0,Tasleet (GB),Gilded Flyer (IRE),F,Mickley Stud Ltd.,,Powerstown Stud,,40000.0
2020.0,Havana Grey (GB),Gilt Linked (GB),C,"Pier House Stud, Ireland",,Richard Hughes Racing,,15000.0
2020.0,Havana Grey (GB),Glace (IRE),C,"The Forge Stables, Ireland",,Meadowview Stables,,14000.0
2020.0,Camacho (GB),Global Alexander (IRE),C,"Mountarmstrong Stud, Ireland",,Grant Tuer,,28000.0
2020.0,Mehmas (IRE),Goldcrest (GB),C,"Tally-Ho Stud, Ireland",,"A C Elliott, Agent",,40000.0
2020.0,Exceed And Excel (AUS),Goleta (IRE),C,Whatton Manor Stud,,Tally-Ho Stud,,56000.0
2020.0,Zoffany (IRE),Got To Dream (GB),C,Fittocks Stud,,Robert Stephens Racing,,5500.0
2020.0,Iffraaj (GB),Gwerrann (GB),C,Aston Mullins Stud,,James Toller,,28000.0
2020.0,Saxon Warrior (JPN),Gymnaste (IRE),C,Kirtlington Stud (Agent),,BBA Ireland,,12500.0
2020.0,Washington DC (IRE),Hakuraa (IRE),C,Bearstone Stud,,Edwards Pre-Training,,11000.0
2020.0,Gustav Klimt (IRE),Harpist (IRE),C,"Lodge Park Stud, Ireland",,Blandford Bloodstock,,48000.0
2020.0,Expert Eye (GB),Haydn's Lass (GB),F,Whatton Manor Stud,,K Finch,,8000.0
2020.0,El Kabeir (USA),Hazardous (GB),C,"Kildaragh Stud, Ireland (Agent)",,David Easterby,,20000.0
2020.0,Iffraaj (GB),Heho (GB),F,Hillwood Stud,,Michael Murray,,3000.0
2020.0,Churchill (IRE),Hen Night (IRE),C,"Lynn Lodge Stud, Ireland",,Marco Bozzi Bloodstock,,18000.0
2020.0,Cityscape (GB),Hoku (IRE),C,Overbury Stud,,Vendor,,23000.0
2020.0,Dandy Man (IRE),Honeymead (IRE),C,"Ballyhimikin Stud, Ireland",,Tom Fanshawe / Fred Archer Racing,,30000.0
2020.0,Havana Grey (GB),Hope Island (IRE),C,Moyns Park Stud,,Midland Equine,,13000.0
2020.0,Lightning Spear (GB),How High The Sky (IRE),C,Whatton Manor Stud,,Highflyer Bloodstock / Eve Johnson Houghton,,26000.0
2020.0,Showcasing (GB),Iamfine (IRE),F,Whitsbury Manor Stud,,Stroud Coleman Bloodstock / Tom Ward,,28000.0
2020.0,Cityscape (GB),In Your Time (GB),C,Furnace Mill Stud,,McKeever Bloodstock / C Hills,,22000.0
