Name,Year,Sex,Sire,Dam,Trainer,Flat rating,Diff Flat,Flat Clltrl,AWT rating,Diff AWT,AWT Clltrl,Chase rating,Diff Chase,Chase Clltrl,Hurdle rating,Diff Hurdle,Hurdle Clltrl
ACADIAN CITY (GB),2019,FILLY,CITYSCAPE (GB),CAJUN MOON (GB),Michael Attwater,44,,,,,,,,,,,
ACAI (IRE),2020,GELDING,KODI BEAR (IRE),DAZZLING VALENTINE (GB),,76,,,,,,,,,,,
ACCELERANDO (IRE),2019,FILLY,NO NAY NEVER (USA),KEYSTONE GULCH (USA),,60,,,,,,,,,,,
ACCIDENTAL AGENT (GB),2014,GELDING,DELEGATOR (GB),ROODLE (GB),Eve Johnson Houghton,104,,,,,,,,,,,
ACCIDENTAL LEGEND (IRE),2017,GELDING,SHIROCCO (GER),CLOTH FAIR (IRE),Fergal O'Brien,,,,,,,,,,105,+5,
ACCIDENTAL REBEL (GB),2014,GELDING,KAYF TARA (GB),SPECIAL CHOICE (IRE),Fergal O'Brien,,,,,,,,,,132,,
ACCRINGTON STANLEY (GB),2018,GELDING,OUTSTRIP (GB),ROUND MIDNIGHT (GB),,57,,,,,,,,,,,
ACE OF HARTS (GB),2018,GELDING,TORONADO (IRE),ANGELENO (IRE),,62,,,,,,,,,,,
ACE ROTHSTEIN (USA),2018,GELDING,MORE THAN READY (USA),A P CINDY (USA),Martin Smith,85,,,,,,,,,,,
ACE TIME (GB),2014,GELDING,SINNDAR (IRE),DESERT RUN (IRE),J. R. Jenkins,,,,,,,,,,74,new,
ACED IT (IRE),2016,GELDING,LOPE DE VEGA (IRE),FARRANJORDAN (GB),Camilla Poulton,87,,,,,,,,,,,
ACES FULL (FR),2015,GELDING,BLEK (FR),ALBALONGA (FR),Sean Curran,,,,,,,90,,,,,
ACEY MILAN (IRE),2014,GELDING,MILAN (GB),STRONG WISHES (IRE),Anthony Honeyball,,,,,,,127,,,,,
ACHELOIS (IRE),2018,FILLY,ZOFFANY (IRE),FONTLEY (GB),,102,,,,,,,,,,,
ACHILLE (FR),2010,GELDING,DOM ALCO (FR),HASE (FR),Venetia Williams,,,,,,,115,-5,,,,
ACHNAMARA (GB),2019,COLT,KODIAC (GB),ALBAMARA (GB),Harry Fry,93,,,,,,,,,,,
ACLAIMED ART (IRE),2020,COLT,ACLAIM (IRE),ALOISI (GB),James Tate,77,,,,,,,,,,,
ACONCAGUA MOUNTAIN (IRE),2018,GELDING,REQUINTO (IRE),MY RULES (IRE),Iain Jardine,60,,,,,,,,,,,
ACOTANGO (IRE),2020,COLT,KODIAC (GB),CHUPALLA (GB),Harry & Roger Charlton,83,,,,,,,,,,,
ACOUSTIC (IRE),2019,COLT,KODIAC (GB),OPERISSIMO (GB),Maurice Barnes,48,,,,,,,,,,,
ACRION (IRE),2018,GELDING,DANDY MAN (IRE),DREAM DATE (IRE),,64,,,,,,,,,,,
ACROSS THE CHANNEL (FR),2015,GELDING,DUNKERQUE (FR),AULNE RIVER (FR),Paula Smith,,,,,,,,,,72,-3,
ACROSS THE LINE (IRE),2015,GELDING,FAME AND GLORY (GB),LA PROTAGONISTA (IRE),Syd Hosie,,,,,,,117,,,117,,
ACT OF PASSION (GB),2019,FILLY,MONDIALISTE (IRE),SILVER ACT (IRE),,45,,,,,,,,,,,
ACT OF WILL (GB),2020,COLT,MONDIALISTE (IRE),SILVER ACT (IRE),Danny Brooke,67,,,,,,,,,,,
ACTIVE DUTY (FR),2019,GELDING,ALMANZOR (FR),MINAKSHI (FR),Ben Pauling,,,,,,,,,,117,,
ACTON BELL (GB),2020,GELDING,DANDY MAN (IRE),DIVINE ACT (IRE),Grant Tuer,50,,,,,,,,,,,
AD INFINITUM (GB),2018,FILLY,GOLDEN HORN (GB),MADAME HOI (IRE),,96,,,,,,,,,,,
ADAAY ATATIME (IRE),2019,GELDING,ADAAY (IRE),GLACIER POINT (GB),,52,,,,,,,,,,,
ADAAY IN ASIA (GB),2019,FILLY,ADAAY (IRE),ASIA MINOR (IRE),,98,,,,,,,,,,,
ADAAY TO REMEMBER (GB),2018,FILLY,ADAAY (IRE),CROSS MY HEART (GB),,102,,,,,,,,,,,
ADAAYINOURLIFE (GB),2019,GELDING,ADAAY (IRE),SANS REWARD (IRE),Mark Usher,56,,,,,,,,,,,
ADACE (GB),2018,FILLY,ADAAY (IRE),MARJONG (GB),Dean Ivory,53,,,,,,,,,,,
