Stallion,Offered,Sold,High £,Av. £,Med. £,Colt Av. £,Colt Med. £,Filly Av. £,Filly Med. £,year,age
Territories,46,37,"93,107","29,558","25,524","33,918","30,000","23,835","15,814",2021,yearling
Cloth of Stars,46,40,"236,999","35,100","25,393","46,598","31,392","23,603","22,301",2021,yearling
Awtaad,44,37,"68,250","24,644","25,000","22,298","28,000","26,244","25,000",2021,yearling
New Approach,24,22,"157,500","30,166","24,496","43,967","31,575","20,611","21,000",2021,yearling
Kodi Bear,34,29,"183,750","35,610","24,166","54,415","31,500","24,117","13,603",2021,yearling
Lightning Spear,12,11,"81,900","30,026","24,150","31,215","24,150","24,675","24,675",2021,yearling
Cotai Glory,60,59,"145,073","31,304","24,150","30,330","24,575","32,312","24,000",2021,yearling
Territories,66,53,"189,000","37,002","23,925","39,707","24,462","32,880","22,423",2022,yearling
Soldier Hollow,19,12,"77,151","32,320","23,814","41,029","24,003","20,128","15,430",2021,yearling
Holy Roman Emperor,63,48,"81,172","29,753","23,674","31,694","25,516","28,110","21,174",2022,yearling
Phoenix of Spain,84,76,"178,784","29,820","23,660","34,108","27,825","26,702","18,021",2022,yearling
Muhaarar,64,54,"115,500","30,120","23,625","32,065","25,200","27,062","22,050",2021,yearling
Dandy Man,106,89,"178,500","32,121","23,320","34,205","25,000","29,789","19,866",2022,yearling
Expert Eye,54,45,"129,618","31,404","23,100","28,200","20,000","35,065","27,300",2022,yearling
Mastercraftsman,64,52,"178,500","34,831","23,078","36,720","26,250","32,041","16,991",2021,yearling
Areion,17,14,"68,356","27,965","23,070","29,158","23,924","26,376","19,652",2022,yearling
Soldier's Call,97,89,"107,270","29,100","23,000","35,226","29,400","23,867","15,124",2022,yearling
Intello,27,23,"219,780","37,399","22,561","48,083","26,054","23,510","18,656",2022,yearling
Kendargent,19,16,"86,774","27,330","22,136","27,991","22,580","26,479","9,553",2022,yearling
Twilight Son,28,26,"141,750","30,316","22,050","36,188","25,000","22,309","21,000",2021,yearling
Profitable,96,75,"157,500","29,749","22,000","33,027","26,250","20,735","13,432",2022,yearling
Goliath du Berlais,21,17,"113,841","31,199","21,893","41,328","31,525","12,631","9,632",2022,yearling
Land Force,89,75,"189,000","32,779","21,693","40,407","29,750","24,945","15,750",2022,yearling
Galiway,25,20,"323,306","45,707","21,251","19,849","20,404","71,565","29,201",2021,yearling
Cotai Glory,54,47,"367,500","42,034","21,000","29,571","22,211","64,028","18,000",2022,yearling
Kessaar,53,50,"94,500","29,109","21,000","38,530","30,000","18,050","15,292",2021,yearling
Bungle Inthejungle,49,47,"110,250","28,833","21,000","27,671","21,000","29,621","21,025",2021,yearling
